INFO  2024-02-12 20:46:38,820  autoreload  Watching for file changes with StatReloader
DEBUG  2024-02-12 20:46:39,268  autoreload  File C:\python3.11\Lib\site-packages\django\contrib\flatpages\forms.py first seen with mtime 1679329810.8740776

DEBUG  2024-02-12 20:46:39,268  autoreload  File C:\python3.11\Lib\site-packages\django\utils\regex_helper.py first seen with mtime 1679329812.6451294

DEBUG  2024-02-12 20:46:39,268  autoreload  File C:\python3.11\Lib\re\__init__.py first seen with mtime 1675778062.0

DEBUG  2024-02-12 20:46:39,268  autoreload  File C:\python3.11\Lib\site-packages\celery\utils\time.py first seen with mtime 1701357514.7472184

DEBUG  2024-02-12 20:46:39,268  autoreload  File C:\python3.11\Lib\quopri.py first seen with mtime 1675778062.0

DEBUG  2024-02-12 20:46:39,268  autoreload  File C:\python3.11\Lib\email\_encoded_words.py first seen with mtime 1675778062.0

DEBUG  2024-02-12 20:46:39,268  autoreload  File C:\python3.11\Lib\site-packages\requests\_internal_utils.py first seen with mtime 1686023026.1204317

DEBUG  2024-02-12 20:46:39,268  autoreload  File C:\python3.11\Lib\site-packages\requests\exceptions.py first seen with mtime 1686023026.1264284

DEBUG  2024-02-12 20:46:39,268  autoreload  File C:\python3.11\Lib\site-packages\cryptography\__init__.py first seen with mtime 1695491373.9416957

DEBUG  2024-02-12 20:46:39,268  autoreload  File C:\python3.11\Lib\site-packages\dateutil\relativedelta.py first seen with mtime 1693685019.3039794

DEBUG  2024-02-12 20:46:39,268  autoreload  File C:\python3.11\Lib\site-packages\django\core\signals.py first seen with mtime 1679329812.3229704

DEBUG  2024-02-12 20:46:39,268  autoreload  File C:\python3.11\Lib\site-packages\django\contrib\flatpages\templatetags\flatpages.py first seen with mtime 1679329811.0500734

DEBUG  2024-02-12 20:46:39,268  autoreload  File C:\python3.11\Lib\site-packages\jwt\utils.py first seen with mtime 1695491368.8842492

DEBUG  2024-02-12 20:46:39,268  autoreload  File C:\python3.11\Lib\site-packages\django\db\backends\sqlite3\base.py first seen with mtime 1679329812.432598

DEBUG  2024-02-12 20:46:39,268  autoreload  File C:\python3.11\Lib\site-packages\allauth\socialaccount\views.py first seen with mtime 1695491375.941324

DEBUG  2024-02-12 20:46:39,268  autoreload  File C:\python3.11\Lib\site-packages\tzlocal\windows_tz.py first seen with mtime 1700417163.4369814

DEBUG  2024-02-12 20:46:39,268  autoreload  File C:\python3.11\Lib\site-packages\django\utils\cache.py first seen with mtime 1679329812.62313

DEBUG  2024-02-12 20:46:39,268  autoreload  File C:\python3.11\Lib\site-packages\django\contrib\auth\validators.py first seen with mtime 1679329810.4963691

DEBUG  2024-02-12 20:46:39,268  autoreload  File C:\python3.11\Lib\site-packages\allauth\socialaccount\signals.py first seen with mtime 1695491375.9393256

DEBUG  2024-02-12 20:46:39,268  autoreload  File C:\python3.11\Lib\site-packages\django\core\handlers\wsgi.py first seen with mtime 1679329812.3555982

DEBUG  2024-02-12 20:46:39,268  autoreload  File C:\python3.11\Lib\site-packages\requests\models.py first seen with mtime 1686023026.1284297

DEBUG  2024-02-12 20:46:39,268  autoreload  File C:\python3.11\Lib\site-packages\django\utils\deprecation.py first seen with mtime 1679329812.6321416

DEBUG  2024-02-12 20:46:39,268  autoreload  File C:\python3.11\Lib\site-packages\django\core\files\uploadedfile.py first seen with mtime 1679329812.3499725

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\site-packages\urllib3\util\ssl_match_hostname.py first seen with mtime 1686023025.3634348

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\asyncio\selector_events.py first seen with mtime 1675778062.0

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\site-packages\sqlparse\cli.py first seen with mtime 1679327447.4527757

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\site-packages\django\views\generic\__init__.py first seen with mtime 1679329812.6671295

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\email\charset.py first seen with mtime 1675778062.0

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\site-packages\allauth\socialaccount\providers\oauth2\utils.py first seen with mtime 1695491376.3813245

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\DLLs\_queue.pyd first seen with mtime 1675778102.0

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\site-packages\urllib3\__init__.py first seen with mtime 1686023025.3414297

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\site-packages\click\utils.py first seen with mtime 1679327610.989745

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\site-packages\celery\app\utils.py first seen with mtime 1701357514.6532288

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\site-packages\django\db\backends\sqlite3\client.py first seen with mtime 1679329812.4335985

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\site-packages\django\views\decorators\csrf.py first seen with mtime 1679329812.6641335

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\site-packages\django\core\handlers\asgi.py first seen with mtime 1679329812.3530788

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\__future__.py first seen with mtime 1675778062.0

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\site-packages\django\db\models\utils.py first seen with mtime 1679329812.4685984

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\site-packages\django\utils\translation\reloader.py first seen with mtime 1679329812.6531308

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\site-packages\django\forms\renderers.py first seen with mtime 1679329812.495597

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\site-packages\django\template\backends\base.py first seen with mtime 1679329812.5891297

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\email\header.py first seen with mtime 1675778062.0

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\site-packages\kombu\utils\functional.py first seen with mtime 1701357513.86758

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\site-packages\sqlparse\engine\statement_splitter.py first seen with mtime 1679327447.465773

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\site-packages\cryptography\hazmat\backends\__init__.py first seen with mtime 1695491373.9488182

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\site-packages\django\utils\version.py first seen with mtime 1679329812.6511364

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\statistics.py first seen with mtime 1675778062.0

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\site-packages\django\core\files\locks.py first seen with mtime 1679329812.3469727

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\multiprocessing\connection.py first seen with mtime 1675778062.0

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\site-packages\django\utils\hashable.py first seen with mtime 1679329812.6371298

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\site-packages\celery\utils\text.py first seen with mtime 1701357514.7461812

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\enum.py first seen with mtime 1675778062.0

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\site-packages\django\core\checks\caches.py first seen with mtime 1679329812.3349736

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\site-packages\kombu\utils\__init__.py first seen with mtime 1701357513.8598325

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\site-packages\django\contrib\contenttypes\__init__.py first seen with mtime 1679329810.691075

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\site-packages\django\core\checks\templates.py first seen with mtime 1679329812.3399715

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\site-packages\django\db\migrations\operations\__init__.py first seen with mtime 1679329812.450608

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\asyncio\base_tasks.py first seen with mtime 1675778062.0

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\lzma.py first seen with mtime 1675778062.0

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\importlib\resources\abc.py first seen with mtime 1675778062.0

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\site-packages\django\dispatch\__init__.py first seen with mtime 1679329812.4885974

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\importlib\__init__.py first seen with mtime 1675778062.0

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\site-packages\kombu\utils\div.py first seen with mtime 1701357513.863649

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\site-packages\urllib3\exceptions.py first seen with mtime 1686023025.3464305

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\site-packages\urllib3\fields.py first seen with mtime 1686023025.3474286

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\zoneinfo\_tzpath.py first seen with mtime 1675778062.0

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\site-packages\django\db\models\fields\related_lookups.py first seen with mtime 1679329812.4755974

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\site-packages\allauth\account\adapter.py first seen with mtime 1695491375.7223265

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\site-packages\click\_compat.py first seen with mtime 1679327610.9757318

DEBUG  2024-02-12 20:46:39,284  autoreload  File C:\python3.11\Lib\site-packages\allauth\socialaccount\providers\google\views.py first seen with mtime 1695491376.2543256

